n,video_id,url,result,path_that_worked,caption_tracks,watch_page_http,watch_page_playability,innertube_tvhtml5_simply_embedded,innertube_android_vr,innertube_web,browser_seconds
1,jNQXAC9IVRw,https://www.youtube.com/watch?v=jNQXAC9IVRw,tracks_found,browser,2,200,LOGIN_REQUIRED,ERROR,LOGIN_REQUIRED,LOGIN_REQUIRED,3.5
2,dQw4w9WgXcQ,https://www.youtube.com/watch?v=dQw4w9WgXcQ,tracks_found,browser,6,429,,ERROR,403,UNPLAYABLE,3.6
3,9bZkp7q19f0,https://www.youtube.com/watch?v=9bZkp7q19f0,tracks_found,browser,1,200,LOGIN_REQUIRED,ERROR,LOGIN_REQUIRED,LOGIN_REQUIRED,3.2
4,kJQP7kiw5Fk,https://www.youtube.com/watch?v=kJQP7kiw5Fk,tracks_found,browser,6,429,,ERROR,LOGIN_REQUIRED,LOGIN_REQUIRED,3.3
5,Ks-_Mh1QhMc,https://www.youtube.com/watch?v=Ks-_Mh1QhMc,tracks_found,browser,53,200,LOGIN_REQUIRED,ERROR,LOGIN_REQUIRED,LOGIN_REQUIRED,4.0
6,d95J8yzvjbQ,https://www.youtube.com/watch?v=d95J8yzvjbQ,tracks_found,browser,10,429,,ERROR,LOGIN_REQUIRED,LOGIN_REQUIRED,2.9
7,oOReBkMrTew,https://www.youtube.com/watch?v=oOReBkMrTew,tracks_found,browser,1,429,,ERROR,LOGIN_REQUIRED,LOGIN_REQUIRED,4.7
8,SG0zIsTtJ7I,https://www.youtube.com/watch?v=SG0zIsTtJ7I,tracks_found,browser,1,200,LOGIN_REQUIRED,ERROR,LOGIN_REQUIRED,403,5.6
9,ZcFF-DMV0pg,https://www.youtube.com/watch?v=ZcFF-DMV0pg,tracks_found,browser,2,429,,ERROR,LOGIN_REQUIRED,LOGIN_REQUIRED,7.0
10,C9NrfCS6CSc,https://www.youtube.com/watch?v=C9NrfCS6CSc,tracks_found,browser,1,429,,ERROR,403,403,2.6
11,XoUqwa090-M,https://www.youtube.com/watch?v=XoUqwa090-M,no_caption_track,browser,0,429,,403,LOGIN_REQUIRED,403,2.5
12,SpVkEIgS8iE,https://www.youtube.com/watch?v=SpVkEIgS8iE,no_caption_track,browser,0,200,LOGIN_REQUIRED,ERROR,LOGIN_REQUIRED,LOGIN_REQUIRED,4.2
13,EgcQspYI4N4,https://www.youtube.com/watch?v=EgcQspYI4N4,tracks_found,browser,1,200,LOGIN_REQUIRED,403,LOGIN_REQUIRED,LOGIN_REQUIRED,2.8
14,KFfpHxZbqbA,https://www.youtube.com/watch?v=KFfpHxZbqbA,no_caption_track,browser,0,200,LOGIN_REQUIRED,ERROR,403,403,3.8
15,gP7qSArG_kg,https://www.youtube.com/watch?v=gP7qSArG_kg,tracks_found,browser,1,200,LOGIN_REQUIRED,ERROR,403,LOGIN_REQUIRED,3.1
16,NdNNkRehBYI,https://www.youtube.com/watch?v=NdNNkRehBYI,tracks_found,browser,1,200,LOGIN_REQUIRED,403,LOGIN_REQUIRED,LOGIN_REQUIRED,5.9
17,-4NUjd6S_fo,https://www.youtube.com/watch?v=-4NUjd6S_fo,tracks_found,browser,1,429,,ERROR,LOGIN_REQUIRED,403,4.1
18,QehCSIJhkdM,https://www.youtube.com/watch?v=QehCSIJhkdM,tracks_found,browser,1,429,,ERROR,LOGIN_REQUIRED,LOGIN_REQUIRED,4.7
19,SF1ZOrZ2Zxg,https://www.youtube.com/watch?v=SF1ZOrZ2Zxg,no_caption_track,browser,0,429,,ERROR,LOGIN_REQUIRED,LOGIN_REQUIRED,5.7
20,pbXPqWGGQ5U,https://www.youtube.com/watch?v=pbXPqWGGQ5U,no_caption_track,browser,0,200,LOGIN_REQUIRED,403,LOGIN_REQUIRED,LOGIN_REQUIRED,2.9
